DOOH Enumeration ID,DOOH String Value,DMI Number,DMI Representation
1,transit,1,Mobility
101,transit.airports,1.2,AIRPORTS
10101,transit.airports.arrivals_hall,1.2.4,AIRPORTS_ARRIVALS
10102,transit.airports.baggage_claim,1.2.1,AIRPORTS_BAGGAGE_CLAIM
10103,transit.airports.departures_hall,1.2.5,AIRPORTS_DEPARTURES
10104,transit.airports.food_court,1.2.2,AIRPORTS_IN_TERMINAL
10105,transit.airports.gates,1.2.7,AIRPORTS_GATES
10106,transit.airports.lounges,1.2.3,AIRPORTS_LOUNGES
10107,transit.airports.shopping_area,1.2.2,AIRPORTS_IN_TERMINAL
102,transit.buses,1.5.3,BUSSES
10201,transit.buses.bus,1.5.3.1,BUSSES_INSIDE
10202,transit.buses.terminal,1.6.3,STATIONS_BUS
10203,transit.buses.bus_outside,1.5.3.2,BUSSES_OUTSIDE
103,transit.taxi_rideshare_tv,1.5.5.1,TAXIS_INSIDE
104,transit.taxi_rideshare_top,1.5.5.2,TAXIS_OUTSIDE
105,transit.subway,1.5.2,SUBWAY
10501,transit.subway.train,1.6.2,STATIONS_SUBWAY
10502,transit.subway.platform,1.6.2.2,STATIONS_SUBWAY_PLATFORMS
106,transit.train_stations,1.6.1,STATIONS_RAILWAY
10601,transit.train_stations.train,1.5.1,RAIL
10602,transit.train_stations.platform,1.6.1.2,STATIONS_RAILWAY_PLATFORMS
107,transit.ferry,1.1,FERRIES
2,retail,2,RETAIL_POS
201,retail.gas_stations,1.4,GAS_STATIONS
20101,retail.gas_stations.pump,1.4,GAS_STATIONS
20102,retail.gas_stations.shop,1.4,GAS_STATIONS
202,retail.convenience_store,2.1,CONVENIENCE_STORES
203,retail.grocery,2.8,SUPERMARKETS
20301,retail.grocery.shop_entrance,2.8.2,SUPERMARKETS_INSTORE
20302,retail.grocery.check_out,2.8.1,SUPERMARKETS_CHECKOUT
20303,retail.grocery.aisles,2.8.2,SUPERMARKETS_INSTORE
204,retail.liquor_stores,2.22,OTHER
205,retail.malls,2.4,MALLS
20501,retail.malls.concourse,2.4,MALLS
20502,retail.malls.food_court,2.4.1,MALLS_FOOD_COURTS
20503,retail.malls.spectacular,2.4,MALLS
206,retail.dispensaries,2.22,OTHER
207,retail.pharmacies,2.21,DRUG_STORES
208,retail.parking_garages,1.7.1,PARKING_GARAGES
3,outdoor,3,OUTDOOR
301,outdoor.billboards,3,OUTDOOR
30101,outdoor.billboards.roadside,1.3.2,HIGHWAYS_ROADSIDE
30102,outdoor.billboards.highway,1.3,HIGHWAYS
30103,outdoor.billboards.spectacular,3,OUTDOOR
302,outdoor.urban_panels,3.1,Street
303,outdoor.bus_shelters,1.6.3,STATIONS_BUS
4,health_beauty,,
401,health_beauty.gyms,6.5.2,SPORTS_GYMS
40101,health_beauty.gyms.lobby.,6.5.2,SPORTS_GYMS
40102,health_beauty.gyms.equipment,6.5.2,SPORTS_GYMS
402,health_beauty.salons,6.7,SALONS
40201,health_beauty.salons.unisex,6.7,SALONS
40202,health_beauty.salons.mens,6.7,SALONS
40203,health_beauty.salons.womens,6.7,SALONS
403,health_beauty.spas,,
5,point_care,4,Healthcare
501,point_care.doctor_offices,4.1,DOCTORS_OFFICES
502,point_care.veterinary_offices,4.4,VETERINARIAN_OFFICES
6,education,5,EDUCATION_WORKPLACE_SERVICES
601,education.schools,5.1,SCHOOLS
602,education.colleges,5.2,UNIVERSITY
60201,education.colleges.residences,5.2,UNIVERSITY
60202,education.colleges.common,5.2,UNIVERSITY
60203,education.colleges.athletics,5.2.6,UNIVERSITY_GYM
7,office_buildings,5.5,OFFICE_BUILDINGS
701,office_buildings.office_buildings,5.5,OFFICE_BUILDINGS
70101,office_buildings.office_buildings.elevator,5.5,OFFICE_BUILDINGS
70102,office_buildings.office_buildings.lobby,5.5,OFFICE_BUILDINGS
8,entertainment,6,ENTERTAINMENT_LEISURE
801,entertainment.recreational,6,ENTERTAINMENT_LEISURE
80101,entertainment.recreational.theme_parks,6,ENTERTAINMENT_LEISURE
80102,entertainment.recreational.museums_galleries,6,ENTERTAINMENT_LEISURE
80103,entertainment.recreational.concert_venues,6,ENTERTAINMENT_LEISURE
802,entertainment.movie_theaters,6.3,MOVIE_THEATER
80201,entertainment.movie_theaters.lobby,6.3.1,MOVIE_THEATER_LOBBIES
80202,entertainment.movie_theaters.food_court,6.3,MOVIE_THEATER
803,entertainment.sports,6.5,SPORTS
80301,entertainment.sports.arena,6.5.4,SPORTS_ARENAS
80302,entertainment.sports.club_house,6.5,SPORTS
804,entertainment.bars,6.1.1,HOSPITALITY_BARS
805,entertainment.casual_dining,6.1.7,HOSPITALITY_RESTAURANTS
806,entertainment.qsr,6.1.9,HOSPITALITY_QSR
807,entertainment.hotels,6.2,HOTELS
80701,entertainment.hotels.lobby,6.2,HOTELS
80702,entertainment.hotels.elevator,6.2,HOTELS
80703,entertainment.hotels.room,6.2,HOTELS
808,entertainment.golf_cart,6.5.1,SPORTS_GOLF_COURSES
809,entertainment.night_club,6.10,NIGHTLIFE
810,entertainment.high_end_dining,6.1.8,HOSPITALITY_HIGH_END_RESTAURANTS
9,government,5.7,GOVERNMENT OFFICES
901,government.dmv,5.7.2,GOVERNMENT OFFICES_REGIONAL
902,government.military_bases,5.8,MILITARY
903,government.postal,2.7,POST_OFFICES
10,financial,2.18,FINANCIAL_SERVICES
1001,financial.banks,2.18.1,FINANCIAL_SERVICES_BANKS
11,residential,,
1101,residential.apartment,,
110101,residential.apartment_buildings.lobby,,
110102,residential.apartment_buildings.elevator,,